comp_name,link,apply_require,condition,comp_info
현대자동차㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/45133743?Oem_Code=C1&logpath=1&stext=&listno=1,"경력 경력 학력 학력무관 핵심역량 계획성, 성실성, 꼼꼼함 우대 기본우대 장애인",고용형태 정규직 급여 회사내규에 따름 지역 서울시 서초구 지도,"산업(업종) 승용차 및 기타 여객용 자동차 제조업 사원수 73,500명 설립년도 1967년 (58년차) 기업형태 대기업 (코스피) 홈페이지 hyundai.com"
㈜아이엠뱅크,https://www.jobkorea.co.kr/Recruit/GI_Read/45286148?Oem_Code=C1&logpath=1&stext=&listno=2,"경력 경력 직무에 따라 상이 학력 학력무관 핵심역량 성실성, 성취지향성, 계획성","고용형태 계약직 근무기간 1년 , 1년단위계약 급여 회사내규에 따름 지역 대구 수성구 , 서구 , 북구 , 남구 , 대구전지역 , 중구 , 동구 , 서울전지역 , 서초구 , 영등포구 , 송파구 , 강남구 , 강동구 , 강서구 , 강원도 원주시 지도 시간 주5일 (월~금)","산업(업종) 국내은행 사원수 3,037명 설립년도 1967년 (58년차) 기업형태 대기업 (코스피) 홈페이지 dgb.co.kr"
㈜세종교육,https://www.jobkorea.co.kr/Recruit/GI_Read/45317131?Oem_Code=C1&logpath=1&stext=&listno=3,"경력 신입·경력 학력 학력무관 교육별 상이 스킬 Hadoop, JAVA, Python, Tensorflow, Tableau, ERP, MES, PLC","고용형태 연수생/교육생 급여 회사내규에 따름 - 면접 후 결정 지역 경기도 성남시 수정구 , 성남시 분당구 , 성남시 중원구 , 수원시 권선구 , 수원시 장안구 , 수원시 팔달구 , 수원시 영통구 , 용인시 기흥구 , 용인시 수지구 , 용인시 처인구 , 서울시 강남구 , 관악구 , 구로구 , 서초구 , 송파구 지도 시간 주5일 (월~금) 09:00~17:30",산업(업종) 일반 교과 학원 사원수 14명 설립년도 2013년 (12년차) 기업형태 중소기업 (비상장) 홈페이지 sejong4u.co.kr
GS리테일,https://www.jobkorea.co.kr/Recruit/GI_Read/45323537?Oem_Code=C1&logpath=1&stext=&listno=4,"경력 경력 (3년이상) 학력 대졸이상 스킬 API, AWS, GCP, kubernetes, Python, Go 핵심역량 계획성, 성취지향성, 꼼꼼함","고용형태 정규직 급여 회사내규에 따름 지역 서울시 강남구 , 강서구 지도","산업(업종) 백화점·유통·도소매 사원수 8,000명 설립년도 1971년 (54년차) 기업형태 대기업 (코스피) 홈페이지 gsretail.com"
(주)우아한형제들,https://www.jobkorea.co.kr/Recruit/GI_Read/45324861?Oem_Code=C1&logpath=1&stext=&listno=5,"경력 신입·경력 학력 학력무관 스킬 ASP, API, ASP.NET, CSS, HTML, JAVA, Javascript, JSP, MSSQL, MySQL, Oracle, PHP, Spring, Spring Boot, SQL, WAS, Window, Linux, Illustrator",고용형태 정규직 계약직 급여 회사내규에 따름 - 면접 후 결정 지역 서울시 송파구 지도,"산업(업종) 응용 소프트웨어 개발 및 공급업 사원수 2,010명 설립년도 2011년 (14년차) 기업형태 중견기업 (비상장) 홈페이지 woowahan.com"
휴먼교육센터,https://www.jobkorea.co.kr/Recruit/GI_Read/45341120?Oem_Code=C1&logpath=1&stext=&listno=6,"경력 신입·경력 학력 학력무관 스킬 .Net, DB2, Django, JAVA, JSP, MSSQL, MySQL, Oracle, Python, SQL","고용형태 연수생/교육생 급여 회사내규에 따름 지역 서울시 영등포구 , 강남구 , 관악구 , 구로구 , 경기도 부천시 , 수원시 팔달구 , 수원시 영통구 , 안산시 단원구 , 용인시 기흥구 , 평택시 , 화성시 , 인천시 남동구 , 부평구 , 충남 천안시 동남구 , 천안시 서북구 지도 시간 주5일 (월~금)",산업(업종) 기타 기술 및 직업훈련학원 사원수 10명 설립년도 2023년 (2년차) 기업형태 중소기업 (비상장) 홈페이지 human.or.kr
SK매직,https://www.jobkorea.co.kr/Recruit/GI_Read/45343450?Oem_Code=C1&logpath=1&stext=&listno=7,"경력 경력 (4년이상) 학력 대졸이상 스킬 Pytorch, Tensorflow, Linux, CAD, BSP, MCU, Micom, RTOS 핵심역량 계획성, 성취지향성, 꼼꼼함 우대 기본우대 관련 학과 전공자","고용형태 정규직 급여 회사내규에 따름 - 면접 후 결정 지역 경기도 화성시 , 서울시 종로구 지도","산업(업종) 전기·전자·제어 사원수 1,320명 설립년도 1985년 (40년차) 기업형태 대기업 계열사·자회사 (비상장) 홈페이지 company.skmagic.com"
㈜하이미디어아카데미,https://www.jobkorea.co.kr/Recruit/GI_Read/45349095?Oem_Code=C1&logpath=1&stext=&listno=8,"경력 신입·경력 학력 학력무관 핵심역량 계획성, 성실성, 꼼꼼함","고용형태 연수생/교육생 급여 회사내규에 따름 - 면접 후 결정 지역 강원도 강릉시 , 경기도 고양시 일산동구 , 김포시 , 성남시 분당구 , 안양시 만안구 , 경기전지역 , 안양시 동안구 , 서울시 강동구 , 구로구 , 서대문구 , 서초구 , 종로구 , 서울전지역 , 인천전지역 , 전국 지도",산업(업종) 학원·어학원·교육원 사원수 80명 설립년도 1993년 (32년차) 기업형태 중소기업 (비상장) 홈페이지 himedia.co.kr
라이나생명보험,https://www.jobkorea.co.kr/Recruit/GI_Read/45341578?Oem_Code=C1&logpath=1&stext=&listno=9,"경력 경력 (1년이상) 학력 학력무관 핵심역량 계획성, 성취지향성, 꼼꼼함 우대 기본우대 장애인",고용형태 정규직 수습 3개월 급여 회사내규에 따름 - 면접 후 결정 지역 서울시 종로구 지도,산업(업종) 은행·금융 사원수 800명 설립년도 1987년 (38년차) 기업형태 외국계(외국 법인기타) (비상장) 홈페이지 lina.co.kr
스마트라이프텍㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/45357308?Oem_Code=C1&logpath=1&stext=&listno=10,경력 신입·경력 (1년이상) 학력 학력무관,"고용형태 정규직 수습 3개월 급여 회사내규에 따름 - 면접 후 결정 지역 서울시 금천구 , 강서구 , 관악구 , 광진구 , 구로구 , 동대문구 , 동작구 , 서초구 , 성동구 , 양천구 , 영등포구 , 용산구 , 은평구 , 종로구 , 중구 지도 시간 주5일 (월~금) 09:30~18:30",산업(업종) 광고 대행업 사원수 60명 설립년도 2021년 (4년차) 기업형태 중소기업 (비상장) 홈페이지 https://zrr.kr/DlXA
㈜에이치비테크놀러지,https://www.jobkorea.co.kr/Recruit/GI_Read/45358556?Oem_Code=C1&logpath=1&stext=&listno=11,경력 경력 (5년이상) 학력 학력무관,고용형태 정규직 급여 회사내규에 따름 - 면접 후 결정 지역 서울시 강남구 지도 시간 주5일 (월~금) 09:00~18:00,산업(업종) 반도체·디스플레이·광학 사원수 346명 설립년도 1997년 (28년차) 기업형태 중견기업 (코스닥 상장) 홈페이지 hbtechnology.co.kr
기아㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/45353056?Oem_Code=C1&logpath=1&stext=&listno=12,"경력 경력 직무별 상이 학력 대졸이상 (ICT본부 고졸 이상) 핵심역량 계획성, 성실성, 꼼꼼함 우대 기본우대 장애인","고용형태 정규직 급여 회사내규에 따름 - 면접 후 결정 지역 서울시 강남구 , 경기도 화성시 , 광명시 지도 시간 주5일 (월~금)",산업(업종) 자동차·조선·철강·항공 설립년도 1944년 (81년차) 기업형태 대기업 (비상장)
티맵모빌리티㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/45356114?Oem_Code=C1&logpath=1&stext=&listno=13,"경력 경력 (10년이상) 학력 초대졸이상 스킬 AWS, Hadoop, JAVA, Javascript, Kafka, Kotlin, OpenGL, Scala, Swift, Spring Framework",고용형태 정규직 급여 회사내규에 따름 - 면접 후 결정 지역 서울시 중구 지도 시간 주5일 (월~금) 09:00~18:00 4주단위 선택 근로제,산업(업종) 모바일·APP 사원수 380명 설립년도 2020년 (5년차) 기업형태 대기업 계열사·자회사 (비상장) 홈페이지 https://www.tmapmobility.com
재단법인 서울특별시 50플러스재단,https://www.jobkorea.co.kr/Recruit/GI_Read/45352960?Oem_Code=C1&logpath=1&stext=&listno=14,"경력 경력 학력 학력무관 핵심역량 계획성, 성실성, 꼼꼼함",고용형태 계약직 급여 회사내규에 따름 - 면접 후 결정 지역 서울시 영등포구 지도,산업(업종) 그 외 기타 협회 및 단체 설립년도 2016년 (9년차) 기업형태 비영리법인 (-)
(주)한백전자,https://www.jobkorea.co.kr/Recruit/GI_Read/45353164?Oem_Code=C1&logpath=1&stext=&listno=15,경력 신입·경력 학력 학력무관 우대 기본우대 인근거주자 우대전공 전기전자공학과,고용형태 정규직 급여 회사내규에 따름 - 면접 후 결정 지역 대전시 유성구 지도 시간 주5일 (월~금) 09:00~18:00 직급 면접 후 결정,산업(업종) 전기·전자·제어 사원수 30명 설립년도 1984년 (41년차) 기업형태 중소기업 (비상장) 홈페이지 hanback.com
